,male
1661,Vyomang
1662,Arhant
1663,Barnak
1664,Turjo
1665,Bhadrang
1666,Manonith
1667,Zico
1668,Bidyot
1669,Krishna
1670,Akshaya
1671,Priom
1672,Rutwik
1673,Azwad
1674,Jayendra
1675,Maruf
1676,Bikash
1677,Alamin
1678,Vrajesh
1679,Dev-rudran
1680,Aadrij
1681,Rishita
1682,Nondon
1683,Advait
1684,Srinu
1685,Abhira
1686,Toufik
1687,Aarav
1688,Parthib
1689,Gajendra
1690,Parthiv
1691,Sharat
1692,Avinash
1693,Pushkar
1694,Proshanto
1695,Nuthan
1696,Bhagyadhar
1697,Zawad
1698,Udaybhan
1699,Otsinto
1700,Jayanand
1701,Pramsu
1702,Rewan
1703,Monoj
1704,Sattar
1705,Aadvik
1706,Dibyadyuti
1707,Binoba
1708,Oscar
1709,Annottam
1710,Mohamed
1711,Charlie
1712,Kalpak
1713,Sanjib
1714,Monowar
1715,Jihad
1716,Agneya
1717,Bappa
1718,Promod
1719,Himangshu
1720,Khushnaseeb
1721,Dwarka-Nath
1722,Ashman
1723,Prassanta
1724,Musafir
1725,Yoganand
1726,Bhojraj
1727,Yajwin
1728,Soukat
1729,Mangesh
1730,Dineswar
1731,Probhakor
1732,Nazir
1733,Raae
1734,Nagaraj
1735,Rudra
1736,Gadhar
1737,Natesh
1738,Posanto
1739,Mitu
1740,Ekayavan
1741,Mohir
